Date,Open,High,Low,Close,Adj Close,Volume
2017-03-03,138.779999,139.830002,138.589996,139.205414,139.779999,21108100
2017-03-06,139.369995,139.770004,138.600006,138.767227,139.339996,21750000
2017-03-07,139.059998,139.979996,138.789993,138.946487,139.520004,17446300
2017-03-08,138.949997,139.800003,138.820007,138.428619,139.000000,18707200
2017-03-09,138.740005,138.789993,137.050003,138.109924,138.679993,22155900
2017-03-10,139.250000,139.360001,138.639999,138.568039,139.139999,19612800
2017-03-13,138.850006,139.429993,138.820007,138.627792,139.199997,17421700
2017-03-14,139.300003,139.649994,138.839996,138.418671,138.990005,15309100
2017-03-15,139.410004,140.750000,139.029999,139.882629,140.460007,25691800
2017-03-16,140.720001,141.020004,140.259995,140.111679,140.690002,19232000
2017-03-17,141.000000,141.000000,139.889999,139.414551,139.990005,43885000
2017-03-20,140.399994,141.500000,140.229996,140.878510,141.460007,21542000
2017-03-21,142.110001,142.800003,139.729996,139.265167,139.839996,39529900
2017-03-22,139.850006,141.600006,139.759995,140.838669,141.419998,25860200
2017-03-23,141.259995,141.580002,140.610001,140.340729,140.919998,20346300
2017-03-24,141.500000,141.740005,140.350006,140.061874,140.639999,22395600
2017-03-27,139.389999,141.220001,138.619995,140.300903,140.880005,23575100
2017-03-28,140.910004,144.039993,140.619995,143.208893,143.800003,33374800
2017-03-29,143.679993,144.490005,143.190002,143.527573,144.119995,29190000
2017-03-30,144.190002,144.500000,143.500000,143.338348,143.929993,21207300
2017-03-31,143.720001,144.270004,143.009995,143.069473,143.660004,19661700
2017-04-03,143.710007,144.119995,143.050003,143.109299,143.699997,19985700
2017-04-04,143.250000,144.889999,143.169998,144.174911,144.770004,19891400
2017-04-05,144.220001,145.460007,143.809998,143.427994,144.020004,27717900
2017-04-06,144.289993,144.520004,143.449997,143.069473,143.660004,21149000
2017-04-07,143.729996,144.179993,143.270004,142.750778,143.339996,16672200
2017-04-10,143.600006,143.880005,142.899994,142.581482,143.169998,18933400
2017-04-11,142.940002,143.350006,140.059998,141.047821,141.630005,30379400
2017-04-12,141.600006,142.149994,141.009995,141.217117,141.800003,20350000
2017-04-13,141.910004,142.380005,141.050003,140.470200,141.050003,17822900
2017-04-17,141.479996,141.880005,140.869995,141.246994,141.830002,16582100
2017-04-18,141.410004,142.039993,141.110001,140.619568,141.199997,14697500
2017-04-19,141.880005,142.000000,140.449997,140.101715,140.679993,17328400
2017-04-20,141.220001,142.919998,141.160004,141.854477,142.440002,23319600
2017-04-21,142.440002,142.679993,141.850006,141.685181,142.270004,17320900
2017-04-24,143.500000,143.949997,143.179993,143.049545,143.639999,17134300
2017-04-25,143.910004,144.899994,143.869995,143.935883,144.529999,18871500
2017-04-26,144.470001,144.600006,143.380005,143.089371,143.679993,20041200
2017-04-27,143.919998,144.160004,143.309998,143.198929,143.789993,14246300
2017-04-28,144.089996,144.300003,143.270004,143.059494,143.649994,20860400
2017-05-01,145.100006,147.199997,144.960007,145.977463,146.580002,33602900
2017-05-02,147.539993,148.089996,146.839996,146.903641,147.509995,45352200
2017-05-03,145.589996,147.490005,144.270004,146.455490,147.059998,45697000
2017-05-04,146.520004,147.139999,145.809998,145.927673,146.529999,23371900
2017-05-05,146.759995,148.979996,146.759995,148.347687,148.960007,27327700
2017-05-08,149.029999,153.699997,149.029999,152.381027,153.009995,48752400
2017-05-09,153.869995,154.880005,153.449997,153.357010,153.990005,39130400
2017-05-10,153.630005,153.940002,152.110001,152.630005,153.259995,25805700
2017-05-11,152.449997,154.070007,152.309998,153.949997,153.949997,27255100
2017-05-12,154.699997,156.419998,154.669998,156.100006,156.100006,32527000
2017-05-15,156.009995,156.649994,155.050003,155.699997,155.699997,26009700
2017-05-16,155.940002,156.059998,154.720001,155.470001,155.470001,20048500
2017-05-17,153.600006,154.570007,149.710007,150.250000,150.250000,50767700
2017-05-18,151.270004,153.339996,151.130005,152.539993,152.539993,33568200
2017-05-19,153.380005,153.979996,152.630005,153.059998,153.059998,26960800
2017-05-22,154.000000,154.580002,152.910004,153.990005,153.990005,22966400
2017-05-23,154.899994,154.899994,153.309998,153.800003,153.800003,19918900
2017-05-24,153.839996,154.169998,152.669998,153.339996,153.339996,19178000
2017-05-25,153.729996,154.350006,153.029999,153.869995,153.869995,19235600
2017-05-26,154.000000,154.240005,153.309998,153.610001,153.610001,21701100
2017-05-30,153.419998,154.429993,153.330002,153.669998,153.669998,20126900
2017-05-31,153.970001,154.169998,152.380005,152.759995,152.759995,24451200
2017-06-01,153.169998,153.330002,152.220001,153.179993,153.179993,16404100
2017-06-02,153.580002,155.449997,152.889999,155.449997,155.449997,27770700
2017-06-05,154.339996,154.449997,153.460007,153.929993,153.929993,25331700
2017-06-06,153.899994,155.809998,153.779999,154.449997,154.449997,26624900
2017-06-07,155.020004,155.979996,154.479996,155.369995,155.369995,21069600
2017-06-08,155.250000,155.539993,154.399994,154.990005,154.990005,21250800
2017-06-09,155.190002,155.190002,146.020004,148.979996,148.979996,64882700
2017-06-12,145.740005,146.089996,142.509995,145.419998,145.419998,72307300
2017-06-13,147.160004,147.449997,145.149994,146.589996,146.589996,34165400
2017-06-14,147.500000,147.500000,143.839996,145.160004,145.160004,31531200
2017-06-15,143.320007,144.479996,142.210007,144.289993,144.289993,32165400
2017-06-16,143.779999,144.500000,142.199997,142.270004,142.270004,50361100
2017-06-19,143.660004,146.740005,143.660004,146.339996,146.339996,32541400
2017-06-20,146.869995,146.869995,144.940002,145.009995,145.009995,24900100
2017-06-21,145.520004,146.070007,144.610001,145.869995,145.869995,21265800
2017-06-22,145.770004,146.699997,145.119995,145.630005,145.630005,19106300
2017-06-23,145.130005,147.160004,145.110001,146.279999,146.279999,35439400
2017-06-26,147.169998,148.279999,145.380005,145.820007,145.820007,25692400
2017-06-27,145.009995,146.160004,143.619995,143.729996,143.729996,24761900
2017-06-28,144.490005,146.110001,143.160004,145.830002,145.830002,22082400
2017-06-29,144.710007,145.130005,142.279999,143.679993,143.679993,31499400
2017-06-30,144.449997,144.960007,143.779999,144.020004,144.020004,23024100
2017-07-03,144.880005,145.300003,143.100006,143.500000,143.500000,14258300
2017-07-05,143.690002,144.789993,142.720001,144.089996,144.089996,21569600
2017-07-06,143.020004,143.500000,142.410004,142.729996,142.729996,24128800
2017-07-07,142.899994,144.750000,142.899994,144.179993,144.179993,19201700
2017-07-10,144.110001,145.949997,143.369995,145.059998,145.059998,21090600
2017-07-11,144.729996,145.850006,144.380005,145.529999,145.529999,19781800
2017-07-12,145.869995,146.179993,144.820007,145.740005,145.740005,24884500
2017-07-13,145.500000,148.490005,145.440002,147.770004,147.770004,25199400
2017-07-14,147.970001,149.330002,147.330002,149.039993,149.039993,20132100
2017-07-17,148.820007,150.899994,148.570007,149.559998,149.559998,23793500
2017-07-18,149.199997,150.130005,148.669998,150.080002,150.080002,17804800
